iter	Passed	Remaining
0	0	76
1	1	71
2	2	72
3	3	73
4	3	70
5	4	68
6	4	66
7	5	64
8	6	62
9	7	63
10	7	62
11	8	61
12	8	59
13	9	59
14	10	59
15	10	57
16	11	55
17	11	54
18	12	53
19	13	53
20	14	52
21	14	52
22	15	51
23	16	50
24	16	49
25	17	48
26	17	47
27	18	46
28	18	46
29	19	45
30	20	44
31	20	43
32	21	43
33	21	42
34	22	41
35	22	40
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	7
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
